TransId
AssessorParcelNumber
APNIndicatorStndCode
TaxIDNumber
TaxIDIndicatorStndCode
UnformattedAssessorParcelNumber
AlternateParcelNumber
HawaiiCondoCPRCode
PropertyHouseNumber
PropertyHouseNumberExt
PropertyStreetPreDirectional
PropertyStreetName
PropertyStreetSuffix
PropertyStreetPostDirectional
PropertyBuildingNumber
PropertyFullStreetAddress
PropertyCity
PropertyState
PropertyZip
PropertyZip4
OriginalPropertyFullStreetAddress
OriginalPropertyAddressLastline
PropertyAddressStndCode
LegalLot
LegalOtherLot
LegalLotCode
LegalBlock
LegalSubdivisionName
LegalCondoProjectPUDDevName
LegalBuildingNumber
LegalUnit
LegalSection
LegalPhase
LegalTract
LegalDistrict
LegalMunicipality
LegalCity
LegalTownship
LegalSTRSection
LegalSTRTownship
LegalSTRRange
LegalSTRMeridian
LegalSecTwnRngMer
LegalRecordersMapReference
LegalDescription
LegalLotSize
PropertySequenceNumber
PropertyAddressMatchcode
PropertyAddressUnitDesignator
PropertyAddressUnitNumber
PropertyAddressCarrierRoute
PropertyAddressGeoCodeMatchCode
PropertyAddressLatitude
PropertyAddressLongitude
PropertyAddressCensusTractAndBlock
PropertyAddressConfidenceScore
PropertyAddressCBSACode
PropertyAddressCBSADivisionCode
PropertyAddressMatchType
PropertyAddressDPV
PropertyGeocodeQualityCode
PropertyAddressQualityCode
FIPS
LoadID
ImportParcelID
BKFSPID
AssessmentRecordMatchFlag
BatchID
